znamka,model,generacija,verzija,višina,širina,dolžina,teža

Polestar,1,,T8R,135.2,195.8,458.6,2250

Rover,100,,1.1 ate97,138.0,156.0,356.0,806

Rover,100,,1.1,138.0,156.0,352.0,806

Rover,100,,1.4 GTi 16v MPI,138.0,156.0,352.0,865

Rover,100,,1.4 GTi 16v,138.0,156.0,352.0,859

Rover,100,,1.4,138.0,156.0,356.0,828

Rover,100,,1.4D,138.0,156.0,352.0,820

Audi,100,100 (type C4),1.6,143,178,479,1310

Audi,100,100 (type C3),1.8 75,142.0,181.0,479.0,1059

Audi,100,100 (type C3),1.8 90,142.2,181.4,479.2,1080

Audi,100,100 (type C3),1.8,142.0,181.0,479.0,1083

Audi,100,100 (type C3),1.9,142.0,181.0,479.0,1170

Audi,100,100 (type C4),2.0 16v,143,178,479,1370

Audi,100,100 (type C3),2.0 D,142.0,181.0,479.0,1223

Audi,100,100 (type C4),2.0 E 100,143.0,178.0,479.0,1282

Audi,100,100 (type C3),2.0 E,142.0,181.0,479.0,1230

Audi,100,100 (type C3),2.0 TD,142.0,181.0,479.0,1278

Audi,100,100 (type C3),2.0,142.0,181.0,479.0,1210

Audi,100,100 (type C4),2.0E 116,143.0,178.0,479.0,1297

Audi,100,100 (type C3),2.1,142,181,479,1210

Audi,100,100 (type C3),2.2 Quattro,142.0,181.0,479.0,

Audi,100,100 (type C3),2.2 Sport quattro,141.4,181.4,479.2,1360

Audi,100,100 (type C3),2.2 Turbo Quattro,142.0,181.0,479.0,1350

Audi,100,100 (type C3),2.2 Turbo,142.0,181.0,479.0,1266

Audi,100,100 (type C3),2.2,142.0,181.0,479.0,1219

Audi,100,100 (type C4),2.3 E Quattro,143.0,178.0,479.0,1442

Audi,100,100 (type C4),2.3 E,143.0,178.0,479.0,1342

Audi,100,100 (type C3),2.3 Quattro,142.0,181.0,479.0,1334

Audi,100,100 (type C4),2.4 D,143.0,178.0,479.0,1350

Audi,100,100 (type C4),2.5 TDI,143,178,479,1440

Audi,100,100 (type C4),2.6 E Quattro,142.0,178.0,479.0,1516

Audi,100,100 (type C4),2.6 E,142.0,178.0,479.0,1416

Audi,100,100 (type C4),2.8 E Quattro Automatic,144.0,178.0,479,

Audi,100,100 (type C4),2.8 E Quattro,144.0,178.0,479.0,1472

Audi,100,100 (type C4),2.8 E,142.0,178.0,479.0,1372

Audi,100,100 (type C2),5D 5sp,139.0,177.0,468.0,1210

Audi,100,100 (type C2),5D,139.0,177.0,468.0,1210

Audi,100,100 (type C2),5E 136,139.0,177.0,468.0,1170

Audi,100,100 (type C2),5E,139.0,177.0,468.0,1170

Audi,100,100 (type C2),5S 115,139.0,177.0,468.0,1170

Rover,100 Cabriolet,,1.1,138.0,156.0,356.0,865

Audi,100 Coupe S,,1.8,133.3,174.6,446.4,1100

Nissan,100 NX,,1.6,131.0,168.0,414.0,1050

Nissan,100 NX,,2.0 GTi,131.0,168.0,414.0,1150

Audi,100,100 (type C4),S4 4.2,144.0,180.0,479.0,1663

Audi,100,100 (type C4),S4,143,178,479,1610

Peugeot,1007,,1.4 HDi,162.0,182.6,373.1,1243

Peugeot,1007,,1.4i 16v,162.0,182.6,373.1,1163

Peugeot,1007,,1.4i,162.0,182.6,373.1,1140

Peugeot,1007,,1.6i,162.0,182.6,373.1,1216

Peugeot,104,,1.0,152.0,152.0,337.0,740

Peugeot,104,,Z,136,152,336.6,740

Peugeot,104,,ZS,136,152,336.6,780

Skoda,105,,1050,140,161,420,875

Peugeot,106,,1.0 XN,138.0,159.0,368.0,770

Peugeot,106,,1.0i XN,137.0,158.0,356.0,748

Peugeot,106,,1.1 XR - XT,138.0,159.0,368.0,790

Peugeot,106,,1.1i XR - XT,137.0,158.0,356.0,776

Peugeot,106,,1.4 D XN - XR,137.0,158.0,356.0,820

Peugeot,106,,1.4 XR - XT,138.0,159.0,368.0,790

Peugeot,106,,1.4i XR - XT - XS,137.0,159.0,356.0,818

Peugeot,106,,1.5 D XR,138.0,159.0,368.0,864

Peugeot,106,,1.6 XS,137.0,159.0,368.0,857

Peugeot,106,,1.6i XT - XS,136.0,161.0,356.0,870

Peugeot,106,,GTI 1.6 16v,136.0,159.0,368.0,925

Peugeot,106,,Rallye 1.3i,136.0,161.0,356.0,816

Peugeot,106,,Rallye 1.6,136.0,161.0,368.0,868

Peugeot,106,,XSi 1.6,136.0,161.0,356.0,872

Peugeot,106,,XSi,136.0,161.0,356.0,845

Peugeot,107,,1.0i,147.0,163.0,343.0,1180

Peugeot,107,,1.4 HDi,147.0,163.0,343.0,1235

Peugeot,107,,3doors Active 1.0 68HP,147.0,163.0,343.0,860

Peugeot,107,,3doors Envy 1.0 68HP,147.0,163.0,343.0,860

Peugeot,107,,3doors Trendy 1.0 68HP,,,,865

Peugeot,107,,3doors Urban 1.0 68HP,,,,865

Peugeot,107,,5doors Active 1.0 68HP 2Tronic,147.0,163.0,343.0,910

Peugeot,107,,5doors Active 1.0 68HP,147.0,163.0,343.0,875

Peugeot,107,,5doors Envy 1.0 68HP,147.0,163.0,343.0,875

Peugeot,107,,5doors Trendy 1.0 68HP 2-Tronic,,,,915

Peugeot,107,,5doors Trendy 1.0 68HP,,,,880

Peugeot,107,,5doors Trendy 1.4 HDi 54HP,,,,965

Peugeot,107,,5doors Urban 1.0 68HP,,,,880

Peugeot,108,,3-door 1.0 e-VTi 72,146.0,161.5,347.5,815

Peugeot,108,,3-doors 1.0 68HP,,,,875

Peugeot,108,,3-doors 1.0 VTi 68 ETG5,146.0,161.5,347.5,935

Peugeot,108,,3-doors 1.2 PureTech 82,146.0,161.5,347.5,940

Peugeot,108,,3-doors 1.2 VTi 82,146.0,161.5,347.5,940

Peugeot,108,,3-doors e-VTi 68,146.0,161.5,347.5,935

Peugeot,108,,3-doors VTi 68 ETG5,146.0,161.5,347.5,935

Peugeot,108,,3-doors VTi 68,146.0,161.5,347.5,915

Peugeot,108,,5-door 1.0 e-VTi 72 Auto,146.0,161.5,347.5,835

Peugeot,108,,5-door 1.0 e-VTi 72,146.0,161.5,347.5,815

Peugeot,108,,5-doors 1.0 68HP,,,,875

Peugeot,108,,5-doors 1.0 VTi 68 ETG5 Allure TOP!,146.0,161.5,347.5,935

Peugeot,108,,5-doors 1.2 PureTech 82 Allure TOP!,146.0,161.5,347.5,940

