verzija,leto
T8R,2020
T8R,2021
1.1 ate97,1995
1.1 ate97,1996
1.1 ate97,1997
1.1,1990
1.1,1991
1.1,1992
1.1,1993
1.1,1994
1.1,1995
1.4 GTi 16v MPI,1991
1.4 GTi 16v MPI,1992
1.4 GTi 16v MPI,1993
1.4 GTi 16v MPI,1994
1.4 GTi 16v MPI,1995
1.4 GTi 16v,1990
1.4 GTi 16v,1991
1.4,1995
1.4,1996
1.4D,1994
1.4D,1995
1.6,1991
1.6,1992
1.6,1993
1.6,1994
1.8 75,1982
1.8 75,1983
1.8 75,1984
1.8 75,1985
1.8 75,1986
1.8 90,1982
1.8 90,1983
1.8 90,1984
1.8 90,1985
1.8 90,1986
1.8,1986
1.8,1987
1.8,1988
1.9,1982
1.9,1983
1.9,1984
2.0 16v,1992
2.0 16v,1993
2.0 16v,1994
2.0 D,1988
2.0 D,1989
2.0 E 100,1991
2.0 E 100,1992
2.0 E 100,1993
2.0 E 100,1994
2.0 E,1988
2.0 E,1989
2.0 E,1990
2.0 E,1991
2.0 TD,1988
2.0 TD,1989
2.0,1984
2.0,1985
2.0,1986
2.0E 116,1992
2.0E 116,1993
2.0E 116,1994
2.1,1982
2.1,1983
2.1,1984
2.2 Quattro,1984
2.2 Quattro,1985
2.2 Quattro,1986
2.2 Sport quattro,1990
2.2 Sport quattro,1991
2.2 Turbo Quattro,1989
2.2 Turbo Quattro,1990
2.2 Turbo Quattro,1991
2.2 Turbo,1989
2.2 Turbo,1990
2.2 Turbo,1991
2.2,1982
2.2,1983
2.2,1984
2.2,1985
2.2,1986
2.3 E Quattro,1991
2.3 E Quattro,1992
2.3 E,1991
2.3 E,1992
2.3 E,1993
2.3 E,1994
2.3 Quattro,1986
2.3 Quattro,1987
2.3 Quattro,1988
2.4 D,1991
2.4 D,1992
2.4 D,1993
2.4 D,1994
2.5 TDI,1991
2.5 TDI,1992
2.5 TDI,1993
2.5 TDI,1994
2.6 E Quattro,1992
2.6 E Quattro,1993
2.6 E Quattro,1994
2.6 E,1992
2.6 E,1993
2.6 E,1994
2.8 E Quattro Automatic,1991
2.8 E Quattro Automatic,1992
2.8 E Quattro Automatic,1993
2.8 E Quattro Automatic,1994
2.8 E Quattro,1991
2.8 E Quattro,1992
2.8 E Quattro,1993
2.8 E Quattro,1994
2.8 E,1991
2.8 E,1992
2.8 E,1993
2.8 E,1994
5E,1977
5E,1978
5E,1979
5E,1980
5E,1981
5E,1982
1.1,1995
1.1,1996
1.8,1972
1.8,1973
1.8,1974
1.8,1975
1.8,1976
1.6,1993
1.6,1994
1.6,1995
1.6,1996
2.0 GTi,1991
2.0 GTi,1992
2.0 GTi,1993
S4 4.2,1993
S4 4.2,1994
S4,1991
S4,1992
S4,1993
S4,1994
1.4 HDi,2005
1.4i 16v,2005
1.4i,2005
1.6i,2005
1.0,1979
1.0,1980
1.0,1981
1.0,1982
1.0,1983
Z,1981
ZS,1982
1050,1976
1.0 XN,1996
1.0 XN,1997
1.0 XN,1998
1.0 XN,1999
1.0 XN,2000
1.0i XN,1992
1.0i XN,1993
1.0i XN,1994
1.0i XN,1995
1.0i XN,1996
1.1 XR - XT,1996
1.1 XR - XT,1997
1.1 XR - XT,1998
1.1 XR - XT,1999
1.1 XR - XT,2000
1.1 XR - XT,2001
1.1i XR - XT,1991
1.1i XR - XT,1992
1.1i XR - XT,1993
1.1i XR - XT,1994
1.1i XR - XT,1995
1.1i XR - XT,1996
1.4 D XN - XR,1993
1.4 D XN - XR,1994
1.4 XR - XT,2001
1.4 XR - XT,2002
1.4 XR - XT,2003
1.4i XR - XT - XS,1991
1.4i XR - XT - XS,1992
1.4i XR - XT - XS,1993
1.4i XR - XT - XS,1994
1.4i XR - XT - XS,1995
1.4i XR - XT - XS,1996
1.5 D XR,1996
1.5 D XR,1997
1.5 D XR,1998
1.5 D XR,1999
1.5 D XR,2000
1.5 D XR,2001
1.6 XS,1996
1.6 XS,1997
1.6 XS,1998
1.6i XT - XS,1994
1.6i XT - XS,1995
1.6i XT - XS,1996
GTI 1.6 16v,1996
GTI 1.6 16v,1997
GTI 1.6 16v,1998
GTI 1.6 16v,1999
GTI 1.6 16v,2000
GTI 1.6 16v,2001
GTI 1.6 16v,2002
GTI 1.6 16v,2003
Rallye 1.3i,1993
Rallye 1.3i,1994
Rallye 1.3i,1995
Rallye 1.3i,1996
Rallye 1.6,1996
Rallye 1.6,1997
Rallye 1.6,1998
XSi 1.6,1994
XSi 1.6,1995
XSi 1.6,1996
XSi,1991
XSi,1992
XSi,1993
XSi,1994
1.0i,2005
1.4 HDi,2005
3doors Active 1.0 68HP,2012
3doors Envy 1.0 68HP,2012
3doors Trendy 1.0 68HP,2010
3doors Urban 1.0 68HP,2010
5doors Active 1.0 68HP 2Tronic,2012
5doors Active 1.0 68HP,2012
5doors Envy 1.0 68HP,2012
5doors Trendy 1.0 68HP 2-Tronic,2010
5doors Trendy 1.0 68HP,2010
5doors Trendy 1.4 HDi 54HP,2010
5doors Urban 1.0 68HP,2010
3-door 1.0 e-VTi 72,2018
3-door 1.0 e-VTi 72,2019
3-door 1.0 e-VTi 72,2020
3-door 1.0 e-VTi 72,2021
3-doors 1.0 68HP,2014
3-doors 1.0 68HP,2015
3-doors 1.0 68HP,2016
3-doors 1.0 68HP,2017
3-doors 1.0 68HP,2018
3-doors 1.0 VTi 68 ETG5,2014
3-doors 1.0 VTi 68 ETG5,2015
3-doors 1.0 VTi 68 ETG5,2016
3-doors 1.0 VTi 68 ETG5,2017
3-doors 1.0 VTi 68 ETG5,2018
3-doors 1.2 PureTech 82,2014
3-doors 1.2 PureTech 82,2015
3-doors 1.2 PureTech 82,2016
3-doors 1.2 PureTech 82,2017
3-doors 1.2 PureTech 82,2018
3-doors 1.2 VTi 82,2014
3-doors 1.2 VTi 82,2015
3-doors 1.2 VTi 82,2016
3-doors 1.2 VTi 82,2017
3-doors 1.2 VTi 82,2018
3-doors e-VTi 68,2014
3-doors e-VTi 68,2015
3-doors e-VTi 68,2016
3-doors e-VTi 68,2017
3-doors e-VTi 68,2018
3-doors VTi 68 ETG5,2014
3-doors VTi 68 ETG5,2015
3-doors VTi 68 ETG5,2016
3-doors VTi 68 ETG5,2017
3-doors VTi 68 ETG5,2018
3-doors VTi 68,2014
3-doors VTi 68,2015
3-doors VTi 68,2016
3-doors VTi 68,2017
3-doors VTi 68,2018
5-door 1.0 e-VTi 72 Auto,2018
5-door 1.0 e-VTi 72 Auto,2019
5-door 1.0 e-VTi 72 Auto,2020
5-door 1.0 e-VTi 72 Auto,2021
5-door 1.0 e-VTi 72,2018
5-door 1.0 e-VTi 72,2019
5-door 1.0 e-VTi 72,2020
5-door 1.0 e-VTi 72,2021
5-doors 1.0 68HP,2014
5-doors 1.0 68HP,2015
5-doors 1.0 68HP,2016
5-doors 1.0 68HP,2017
5-doors 1.0 68HP,2018
5-doors 1.0 VTi 68 ETG5 Allure TOP!,2014
5-doors 1.0 VTi 68 ETG5 Allure TOP!,2015
5-doors 1.0 VTi 68 ETG5 Allure TOP!,2016
5-doors 1.0 VTi 68 ETG5 Allure TOP!,2017
5-doors 1.0 VTi 68 ETG5 Allure TOP!,2018
5-doors 1.2 PureTech 82 Allure TOP!,2014
5-doors 1.2 PureTech 82 Allure TOP!,2015
5-doors 1.2 PureTech 82 Allure TOP!,2016
5-doors 1.2 PureTech 82 Allure TOP!,2017
5-doors 1.2 PureTech 82 Allure TOP!,2018
5-doors 1.2 PureTech 82 Open TOP!,2015
5-doors 1.2 PureTech 82 Open TOP!,2016
5-doors 1.2 PureTech 82 Open TOP!,2017
5-doors 1.2 PureTech 82 Open TOP!,2018
5-doors 1.2 PureTech 82 Open,2015
5-doors 1.2 PureTech 82 Open,2016
5-doors 1.2 PureTech 82 Open,2017
5-doors 1.2 PureTech 82 Open,2018
5-doors 1.2 PureTech 82 Roland Garros TOP!,2015
5-doors 1.2 PureTech 82 Roland Garros TOP!,2016
5-doors 1.2 PureTech 82 Roland Garros TOP!,2017
5-doors 1.2 PureTech 82 Roland Garros TOP!,2018
5-doors 1.2 VTi 82,2014
5-doors 1.2 VTi 82,2015
5-doors 1.2 VTi 82,2016
5-doors 1.2 VTi 82,2017
5-doors 1.2 VTi 82,2018
5-doors e-VTi 68,2014
5-doors e-VTi 68,2015
5-doors e-VTi 68,2016
5-doors e-VTi 68,2017
5-doors e-VTi 68,2018
5-doors VTi 68 ETG5,2014
5-doors VTi 68 ETG5,2015
5-doors VTi 68 ETG5,2016
5-doors VTi 68 ETG5,2017
5-doors VTi 68 ETG5,2018
5-doors VTi 68,2014
5-doors VTi 68,2015
5-doors VTi 68,2016
5-doors VTi 68,2017
5-doors VTi 68,2018
TOP! 1.0 68HP,2014
TOP! 1.0 68HP,2015
TOP! 1.0 68HP,2016
TOP! 1.0 68HP,2017
TOP! 1.0 68HP,2018
2.6,1971
2.6,1972
2.6,1973
2.6,1974
2.6,1975
2.6,1976
2.6,1977
2.6,1978
2.6,1979
2.6,1980
2.6,1981
2.6,1982
2.6,1983
2.6,1984
3.5 V8,1979
3.5 V8,1980
3.5 V8,1981
3.5 V8,1982
3.5 V8,1983
3.5 V8,1984
1.4 TL/GTL,1983
1.4 TL/GTL,1984
1.4 TL/GTL,1985
1.4 TL/GTL,1986
1.4 TSE,1983
1.4 TSE,1984
GTD - TDE,1983
GTD - TDE,1984
GTD - TDE,1985
GTD - TDE,1986
GTD - TDE,1987
GTX - TXE,1983
GTX - TXE,1984
GTX - TXE,1985
GTX - TXE,1986
GTX - TXE,1987
1.2 TC,1986
1.2 TC,1987
1.2 TC,1988
1.2 TC,1989
1.4 Automatic,1986
1.4 Automatic,1987
1.4 Automatic,1988
1.4 Automatic,1989
1.4 GTL,1986
1.4 GTL,1987
1.4 GTL,1988
1.4 GTL,1989
1.4 TL,1986
1.4 TL,1987
1.4 TL,1988
1.4 TL,1989
1.7 GTE,1987
1.7 GTE,1988
1.7 GTE,1989
1.7 GTX,1986
1.7 GTX,1987
1.7 GTX,1988
1.7 GTX,1989
GTD,1986
GTD,1987
GTD,1988
GTD,1989
TL - GTL,1983
TL - GTL,1984
TL - GTL,1985
TL - GTL,1986
TL - GTL,1987
Turbo,1984
Turbo,1985
Turbo,1986
Turbo,1987
2.2 Diesel,1983
2.2 Diesel,1984
2.2 Diesel,1985
2.2 Diesel,1986
2.2 Diesel,1987
2.2 Diesel,1988
2.2 Diesel,1989
2.2 Diesel,1990
2.2,1984
2.2,1985
2.2,1986
2.2,1987
2.2,1988
2.2,1989
2.2,1990
V8,1983
V8,1984
V8,1985
V8,1986
V8,1987
V8,1988
V8,1989
V8,1990
1300 Automatic,1976
1300 Estate,1969
1300 L,1976
1300 TS,1969
1300,1969
Gordini,1970
L/LS,1983
L/LS,1984
L/LS,1985
L/LS,1986
L/LS,1987
L/LS,1988
L/LS,1989
L/LS,1990
L,1980
LS - GLS,1976
Estate,1963
Coupe,1979
Coupe,1980
Coupe,1981
1.1 5sp,1988
1.1 5sp,1989
1.1 5sp,1990
1.1 5sp,1991
1.1,1988
1.1,1989
1.1,1990
1.1,1991
1.3 Cabrio Top,1988
1.3 Cabrio Top,1989
1.3 Cabrio Top,1990
1.3 Cabrio Top,1991
1.3,1988
1.3,1989
1.3,1990
1.3,1991
1.3i Cabrio Top,1991
1.3i Cabrio Top,1992
1.3i Cabrio Top,1993
1.3i Cabrio Top,1994
1.3i Cabrio Top,1995
1.3i Cabrio Top,1996
1.3i,1991
1.3i,1992
1.3i,1993
1.3i,1994
1.3i,1995
1.3i,1996
1.25i auto,1996
1.25i auto,1997
1.25i auto,1998
1.25i auto,1999
1.25i Cabrio Top,1996
1.25i Cabrio Top,1997
1.25i Cabrio Top,1998
1.25i,2000
1.25i,2001
1.3i,2000
1.3i,2001
1.8 D,1996
1.8 D,1997
1.8 D,1998
1.8 D,1999
1.8 D,2000
1.8 TD,2000
1.8 TD,2001
B16,1957
S,1965
1200,1966
1200,1967
1200,1968
1200,1969
1200,1970
1200,1971
1200,1972
1200,1973
1200,1974
1400,1966
1400,1967
1400,1968
1400,1969
1600,1969
1600,1970
1600,1971
1600,1972
1800,1972
1800,1973
1800,1974
1800,1975
1800,1976
Special T,1973
Special T,1974
Lusso 1.4T 140HP Auto,2017
Lusso 1.4T 140HP Auto,2018
Lusso 1.4T 140HP Auto,2019
Lusso 1.4T 140HP Auto,2020
Lusso 1.4T 140HP Auto,2021
Lusso 1.4T 140HP,2016
1400,1966
1400,1967
1400,1968
1400,1969
1400,1970
1400,1971
1400,1972
1400,1973
1600,1969
1600,1970
1600,1971
1600,1972
1600,1973
1800,1972
1800,1973
1800,1974
1800,1975
1800,1976
1800,1977
2000,1981
2000,1982
2000,1983
2000,1984
2000,1985
2000i,1979
2000i,1980
2000i,1981
2000i,1982
2000i,1983
2000i,1984
2000i,1985
Abarth Rallye,1972
Abarth Rallye,1973
S,1947
650cc,1978
650cc,1979
650cc,1980
650cc,1981
650cc,1982
650cc,1983
650cc,1984
650cc,1985
650cc,1986
650cc,1987
1100SL Coupe,1971
1300SL Coupe,1971
Berlinetta,1978
CL Estate,1978
CL,1978
Estate,1969
Rally,1971
Saloon,1969
Automatic,1971
Automatic,1972
Automatic,1973
Automatic,1974
Automatic,1975
Automatic,1976
Automatic,1977
Opera,1975
Opera,1976
Opera,1977
Saloon Automatic,1971
Saloon Automatic,1972
Saloon Automatic,1973
Saloon Automatic,1974
Saloon Automatic,1975
Saloon Automatic,1976
Saloon Automatic,1977
Saloon,1969
Saloon,1970
Saloon,1971
Saloon,1972
Saloon,1973
Saloon,1974
Saloon,1975
Saloon,1976
Saloon,1977
112hp,1970
7 Custom Automatic,1970
7 Custom,1970
7 De Luxe Automatic,1970
7 De Luxe,1970
9 De Luxe,1970
94hp,1970
77 Automatic,1969
77,1969
2000,1977
2000,1978
2000,1979
